,    DATE,remainder,lag1
1,1876-01-02,-60.30246805678061,-63.30229597070328
2,1876-01-03,-82.30264014285794,-60.30246805678061
3,1876-01-04,-143.30281222893527,-82.30264014285794
4,1876-01-05,-183.3029843150126,-143.30281222893527
5,1876-01-06,-162.30315640108992,-183.3029843150126
6,1876-01-07,-151.30332848716725,-162.30315640108992
7,1876-01-08,-174.30350057324458,-151.30332848716725
8,1876-01-09,-212.3036726593219,-174.30350057324458
9,1876-01-10,-174.30384474539923,-212.3036726593219
10,1876-01-11,-147.30401683147656,-174.30384474539923
11,1876-01-12,-131.3041889175539,-147.30401683147656
12,1876-01-13,-120.3043610036312,-131.3041889175539
13,1876-01-14,-121.30453308970854,-120.3043610036312
14,1876-01-15,-116.30470517578588,-121.30453308970854
15,1876-01-16,-108.3048772618632,-116.30470517578588
16,1876-01-17,-97.30504934794052,-108.3048772618632
17,1876-01-18,-77.30522143401785,-97.30504934794052
18,1876-01-19,-47.30539352009518,-77.30522143401785
19,1876-01-20,-52.30556560617251,-47.30539352009518
20,1876-01-21,-46.30573769224984,-52.30556560617251
21,1876-01-22,-75.30590977832716,-46.30573769224984
22,1876-01-23,-79.30608186440449,-75.30590977832716
23,1876-01-24,-60.30625395048182,-79.30608186440449
24,1876-01-25,-57.306426036559145,-60.30625395048182
25,1876-01-26,-82.30659812263647,-57.306426036559145
26,1876-01-27,-93.3067702087138,-82.30659812263647
27,1876-01-28,-107.30694229479111,-93.3067702087138
28,1876-01-29,-98.30711438086846,-107.30694229479111
29,1876-01-30,-78.30728646694578,-98.30711438086846
30,1876-01-31,-82.3074585530231,-78.30728646694578
31,1876-02-01,-105.90699587347542,-82.3074585530231
32,1876-02-02,-91.90716795955277,-105.90699587347542
33,1876-02-03,-85.90734004563008,-91.90716795955277
34,1876-02-04,-74.9075121317074,-85.90734004563008
35,1876-02-05,-87.90768421778473,-74.9075121317074
36,1876-02-06,-101.90785630386206,-87.90768421778473
37,1876-02-07,-93.9080283899394,-101.90785630386206
38,1876-02-08,-124.90820047601672,-93.9080283899394
39,1876-02-09,-99.90837256209404,-124.90820047601672
40,1876-02-10,-114.90854464817136,-99.90837256209404
41,1876-02-11,-139.90871673424869,-114.90854464817136
42,1876-02-12,-105.90888882032604,-139.90871673424869
43,1876-02-13,-147.90906090640334,-105.90888882032604
44,1876-02-14,-98.90923299248068,-147.90906090640334
45,1876-02-15,-59.90940507855801,-98.90923299248068
46,1876-02-16,-39.90957716463534,-59.90940507855801
47,1876-02-17,-37.909749250712665,-39.90957716463534
48,1876-02-18,-27.909921336789992,-37.909749250712665
49,1876-02-19,-12.91009342286732,-27.909921336789992
50,1876-02-20,-41.91026550894465,-12.91009342286732
51,1876-02-21,-54.910437595021975,-41.91026550894465
52,1876-02-22,7.089390318900698,-54.910437595021975
53,1876-02-23,-9.91078176717663,7.089390318900698
54,1876-02-24,-44.91095385325396,-9.91078176717663
55,1876-02-25,-64.91112593933128,-44.91095385325396
56,1876-02-26,-53.91129802540861,-64.91112593933128
57,1876-02-27,-21.91147011148594,-53.91129802540861
58,1876-02-28,-18.911642197563268,-21.91147011148594
59,1876-02-29,-72.9118142836406,-18.911642197563268
60,1876-03-01,-59.45959379159292,-72.9118142836406
61,1876-03-02,-45.45976587767025,-59.45959379159292
62,1876-03-03,-71.45993796374758,-45.45976587767025
63,1876-03-04,-30.460110049824905,-71.45993796374758
64,1876-03-05,-65.46028213590223,-30.460110049824905
65,1876-03-06,-62.46045422197956,-65.46028213590223
66,1876-03-07,-67.46062630805689,-62.46045422197956
67,1876-03-08,-88.46079839413422,-67.46062630805689
68,1876-03-09,-73.46097048021154,-88.46079839413422
69,1876-03-10,-82.46114256628887,-73.46097048021154
70,1876-03-11,-64.4613146523662,-82.46114256628887
71,1876-03-12,-65.46148673844353,-64.4613146523662
72,1876-03-13,-74.46165882452085,-65.46148673844353
73,1876-03-14,-81.46183091059818,-74.46165882452085
74,1876-03-15,-54.46200299667551,-81.46183091059818
75,1876-03-16,-80.46217508275284,-54.46200299667551
76,1876-03-17,-102.46234716883016,-80.46217508275284
77,1876-03-18,-98.46251925490748,-102.46234716883016
78,1876-03-19,-105.46269134098482,-98.46251925490748
79,1876-03-20,-104.46286342706216,-105.46269134098482
80,1876-03-21,-113.46303551313947,-104.46286342706216
81,1876-03-22,-130.4632075992168,-113.46303551313947
82,1876-03-23,-101.46337968529411,-130.4632075992168
83,1876-03-24,-96.46355177137146,-101.46337968529411
84,1876-03-25,-105.46372385744878,-96.46355177137146
85,1876-03-26,-124.46389594352613,-105.46372385744878
86,1876-03-27,-111.46406802960344,-124.46389594352613
87,1876-03-28,-70.46424011568077,-111.46406802960344
88,1876-03-29,-27.46441220175809,-70.46424011568077
89,1876-03-30,-24.464584287835407,-27.46441220175809
90,1876-03-31,-28.46475637391273,-24.464584287835407
91,1876-04-01,-73.88240892874006,-28.46475637391273
92,1876-04-02,-44.88258101481739,-73.88240892874006
93,1876-04-03,-64.88275310089472,-44.88258101481739
94,1876-04-04,-93.88292518697205,-64.88275310089472
95,1876-04-05,-78.88309727304937,-93.88292518697205
96,1876-04-06,-66.8832693591267,-78.88309727304937
97,1876-04-07,-86.88344144520403,-66.8832693591267
98,1876-04-08,-70.88361353128136,-86.88344144520403
99,1876-04-09,-48.88378561735868,-70.88361353128136
100,1876-04-10,-43.88395770343601,-48.88378561735868
101,1876-04-11,-64.88412978951334,-43.88395770343601
102,1876-04-12,-116.88430187559068,-64.88412978951334
103,1876-04-13,-135.884473961668,-116.88430187559068
104,1876-04-14,-121.88464604774532,-135.884473961668
105,1876-04-15,-107.88481813382263,-121.88464604774532
106,1876-04-16,-113.88499021989998,-107.88481813382263
107,1876-04-17,-83.8851623059773,-113.88499021989998
108,1876-04-18,-61.88533439205463,-83.8851623059773
109,1876-04-19,-45.88550647813196,-61.88533439205463
110,1876-04-20,-39.885678564209286,-45.88550647813196
111,1876-04-21,-30.885850650286613,-39.885678564209286
112,1876-04-22,-79.88602273636394,-30.885850650286613
113,1876-04-23,-56.88619482244127,-79.88602273636394
114,1876-04-24,-94.8863669085186,-56.88619482244127
115,1876-04-25,-74.88653899459592,-94.8863669085186
116,1876-04-26,-61.88671108067325,-74.88653899459592
117,1876-04-27,-87.88688316675058,-61.88671108067325
118,1876-04-28,-80.8870552528279,-87.88688316675058
119,1876-04-29,-45.887227338905234,-80.8870552528279
120,1876-04-30,-55.88739942498256,-45.887227338905234
121,1876-05-01,-106.32409494855987,-55.88739942498256
122,1876-05-02,-140.32426703463722,-106.32409494855987
123,1876-05-03,-148.32443912071454,-140.32426703463722
124,1876-05-04,-143.32461120679187,-148.32443912071454
125,1876-05-05,-122.3247832928692,-143.32461120679187
126,1876-05-06,-124.32495537894653,-122.3247832928692
127,1876-05-07,-167.32512746502383,-124.32495537894653
128,1876-05-08,-171.32529955110118,-167.32512746502383
129,1876-05-09,-163.3254716371785,-171.32529955110118
130,1876-05-10,-157.32564372325584,-163.3254716371785
131,1876-05-11,-157.32581580933316,-157.32564372325584
132,1876-05-12,-154.3259878954105,-157.32581580933316
133,1876-05-13,-142.32615998148782,-154.3259878954105
134,1876-05-14,-145.32633206756515,-142.32615998148782
135,1876-05-15,-129.32650415364247,-145.32633206756515
136,1876-05-16,-125.3266762397198,-129.32650415364247
137,1876-05-17,-105.32684832579712,-125.3266762397198
138,1876-05-18,-111.32702041187446,-105.32684832579712
139,1876-05-19,-169.32719249795178,-111.32702041187446
140,1876-05-20,-133.3273645840291,-169.32719249795178
141,1876-05-21,-106.32753667010644,-133.3273645840291
142,1876-05-22,-104.32770875618375,-106.32753667010644
143,1876-05-23,-85.3278808422611,-104.32770875618375
144,1876-05-24,-81.32805292833842,-85.3278808422611
145,1876-05-25,-77.32822501441575,-81.32805292833842
146,1876-05-26,-106.32839710049308,-77.32822501441575
147,1876-05-27,-131.3285691865704,-106.32839710049308
148,1876-05-28,-110.32874127264772,-131.3285691865704
149,1876-05-29,-71.32891335872505,-110.32874127264772
150,1876-05-30,-58.32908544480237,-71.32891335872505
151,1876-05-31,-51.3292575308797,-58.32908544480237
152,1876-06-01,-132.04622649195704,-51.3292575308797
153,1876-06-02,-115.04639857803436,-132.04622649195704
154,1876-06-03,-66.04657066411168,-115.04639857803436
155,1876-06-04,-93.046742750189,-66.04657066411168
156,1876-06-05,-82.04691483626634,-93.046742750189
157,1876-06-06,-45.04708692234367,-82.04691483626634
158,1876-06-07,-32.047259008420994,-45.04708692234367
159,1876-06-08,-87.04743109449832,-32.047259008420994
160,1876-06-09,-43.04760318057565,-87.04743109449832
161,1876-06-10,-63.04777526665298,-43.04760318057565
162,1876-06-11,-63.047947352730304,-63.04777526665298
163,1876-06-12,-68.04811943880763,-63.047947352730304
164,1876-06-13,-63.04829152488496,-68.04811943880763
165,1876-06-14,-72.04846361096229,-63.04829152488496
166,1876-06-15,-70.04863569703961,-72.04846361096229
167,1876-06-16,-51.04880778311694,-70.04863569703961
168,1876-06-17,-106.04897986919428,-51.04880778311694
169,1876-06-18,-77.0491519552716,-106.04897986919428
170,1876-06-19,-59.049324041348925,-77.0491519552716
171,1876-06-20,-68.04949612742625,-59.049324041348925
172,1876-06-21,-60.04966821350358,-68.04949612742625
173,1876-06-22,-60.04984029958091,-60.04966821350358
174,1876-06-23,-98.05001238565823,-60.04984029958091
175,1876-06-24,-105.05018447173556,-98.05001238565823
176,1876-06-25,-97.05035655781288,-105.05018447173556
177,1876-06-26,-85.05052864389022,-97.05035655781288
178,1876-06-27,-83.05070072996755,-85.05052864389022
179,1876-06-28,-53.05087281604487,-83.05070072996755
180,1876-06-29,-56.0510449021222,-53.05087281604487
181,1876-06-30,-67.05121698819953,-56.0510449021222
182,1876-07-01,-107.94811758990186,-67.05121698819953
183,1876-07-02,-99.94828967597918,-107.94811758990186
184,1876-07-03,-94.94846176205652,-99.94828967597918
185,1876-07-04,-83.94863384813384,-94.94846176205652
186,1876-07-05,-71.94880593421117,-83.94863384813384
187,1876-07-06,-62.94897802028849,-71.94880593421117
188,1876-07-07,-42.94915010636582,-62.94897802028849
189,1876-07-08,-37.94932219244315,-42.94915010636582
190,1876-07-09,-55.94949427852048,-37.94932219244315
191,1876-07-10,-57.9496663645978,-55.94949427852048
192,1876-07-11,-95.94983845067512,-57.9496663645978
193,1876-07-12,-111.95001053675246,-95.94983845067512
194,1876-07-13,-101.9501826228298,-111.95001053675246
195,1876-07-14,-86.95035470890711,-101.9501826228298
196,1876-07-15,-75.95052679498444,-86.95035470890711
197,1876-07-16,-87.95069888106177,-75.95052679498444
198,1876-07-17,-83.9508709671391,-87.95069888106177
199,1876-07-18,-106.95104305321642,-83.9508709671391
200,1876-07-19,-120.95121513929377,-106.95104305321642
201,1876-07-20,-110.95138722537108,-120.95121513929377
202,1876-07-21,-104.9515593114484,-110.95138722537108
203,1876-07-22,-83.95173139752573,-104.9515593114484
204,1876-07-23,-59.95190348360306,-83.95173139752573
205,1876-07-24,-41.95207556968039,-59.95190348360306
206,1876-07-25,-35.9522476557577,-41.95207556968039
207,1876-07-26,-65.95241974183503,-35.9522476557577
208,1876-07-27,-53.95259182791236,-65.95241974183503
209,1876-07-28,-82.95276391398968,-53.95259182791236
210,1876-07-29,-76.95293600006701,-82.95276391398968
211,1876-07-30,-81.95310808614434,-76.95293600006701
212,1876-07-31,-45.95328017222167,-81.95310808614434
213,1876-08-01,-60.943930773924,-45.95328017222167
214,1876-08-02,-75.94410286000132,-60.943930773924
215,1876-08-03,-61.94427494607865,-75.94410286000132
216,1876-08-04,-56.94444703215598,-61.94427494607865
217,1876-08-05,-56.944619118233305,-56.94444703215598
218,1876-08-06,-83.94479120431063,-56.944619118233305
219,1876-08-07,-64.94496329038796,-83.94479120431063
220,1876-08-08,-49.94513537646529,-64.94496329038796
221,1876-08-09,-64.94530746254262,-49.94513537646529
222,1876-08-10,-64.94547954861994,-64.94530746254262
223,1876-08-11,-61.94565163469727,-64.94547954861994
224,1876-08-12,-67.9458237207746,-61.94565163469727
225,1876-08-13,-47.945995806851926,-67.9458237207746
226,1876-08-14,-34.94616789292925,-47.945995806851926
227,1876-08-15,-27.94633997900658,-34.94616789292925
228,1876-08-16,-77.94651206508391,-27.94633997900658
229,1876-08-17,-90.94668415116124,-77.94651206508391
230,1876-08-18,-92.94685623723856,-90.94668415116124
231,1876-08-19,-69.94702832331589,-92.94685623723856
232,1876-08-20,-42.94720040939322,-69.94702832331589
233,1876-08-21,-15.947372495470546,-42.94720040939322
234,1876-08-22,-40.947544581547874,-15.947372495470546
235,1876-08-23,-70.9477166676252,-40.947544581547874
236,1876-08-24,-104.94788875370251,-70.9477166676252
237,1876-08-25,-112.94806083977986,-104.94788875370251
238,1876-08-26,-129.94823292585718,-112.94806083977986
239,1876-08-27,-127.94840501193453,-129.94823292585718
240,1876-08-28,-122.94857709801184,-127.94840501193453
241,1876-08-29,-106.94874918408917,-122.94857709801184
242,1876-08-30,-109.9489212701665,-106.94874918408917
243,1876-08-31,-127.94909335624382,-109.9489212701665
244,1876-09-01,-97.78764434857116,-127.94909335624382
245,1876-09-02,-80.78781643464848,-97.78764434857116
246,1876-09-03,-88.7879885207258,-80.78781643464848
247,1876-09-04,-82.78816060680313,-88.7879885207258
248,1876-09-05,-35.78833269288046,-82.78816060680313
249,1876-09-06,-28.788504778957787,-35.78833269288046
250,1876-09-07,-61.78867686503512,-28.788504778957787
251,1876-09-08,-88.78884895111244,-61.78867686503512
252,1876-09-09,-99.78902103718976,-88.78884895111244
253,1876-09-10,-100.7891931232671,-99.78902103718976
254,1876-09-11,-105.78936520934442,-100.7891931232671
255,1876-09-12,-99.78953729542177,-105.78936520934442
256,1876-09-13,-100.78970938149908,-99.78953729542177
257,1876-09-14,-92.7898814675764,-100.78970938149908
258,1876-09-15,-97.79005355365372,-92.7898814675764
259,1876-09-16,-99.79022563973106,-97.79005355365372
